codigo,comuna,provincia,region,poblacion,casos_20200330,casos_20200401,casos_20200403,casos_20200406
15101,Arica,Arica,Arica y Parinacota,221364,6,6,12,41
15102,Camarones,Arica,Arica y Parinacota,1255,,,,
15201,Putre,Parinacota,Arica y Parinacota,2765,,,,
15202,General Lagos,Parinacota,Arica y Parinacota,684,,,,
1101,Iquique,Iquique,Tarapacá,191468,5,9,10,13
1107,Alto Hospicio,Iquique,Tarapacá,108375,,1,3,5
1401,Pozo Almonte,Tamarugal,Tarapacá,15711,,,,2
1402,Camiña,Tamarugal,Tarapacá,125,,,,
1403,Colchane,Tamarugal,Tarapacá,1728,,,,
1404,Huara,Tamarugal,Tarapacá,273,,,,
1405,Pica,Tamarugal,Tarapacá,9296,,,,1
2101,Antofagasta,Antofagasta,Antofagasta,361873,29,32,44,54
2102,Mejillones,Antofagasta,Antofagasta,13467,,,,1
2103,Sierra Gorda,Antofagasta,Antofagasta,10186,,,,
2104,Taltal,Antofagasta,Antofagasta,13317,,,,
2201,Calama,El Loa,Antofagasta,165731,,3,5,7
2202,Ollagüe,El Loa,Antofagasta,321,,,,
2203,San Pedro de Atacama,El Loa,Antofagasta,10996,,2,3,4
2301,Tocopilla,Tocopilla,Antofagasta,25186,,2,2,2
2302,María Elena,Tocopilla,Antofagasta,6457,,,,
3101,Copiapó,Copiapó,Atacama,153937,,2,4,4
3102,Caldera,Copiapó,Atacama,17662,,,,
3103,Tierra Amarilla,Copiapó,Atacama,14019,,,,
3201,Chañaral,Chañaral,Antofagasta,12219,,,,
3202,Diego de Almagro,Chañaral,Atacama,13925,,1,1,1
3301,Vallenar,Huasco,Atacama,51917,,,,
3302,Alto del Carmen,Huasco,Atacama,5299,,,,
3303,Freirina,Huasco,Atacama,7041,,,,
3304,Huasco,Huasco,Atacama,10149,,,,
4101,La Serena,Elqui,Coquimbo,221054,,3,8,12
4102,Coquimbo,Elqui,Coquimbo,22773,17,19,19,19
4103,Andacollo,Elqui,Coquimbo,11044,,,,
4104,La Higuera,Elqui,Coquimbo,4241,,,,
4105,Paiguano,Elqui,Coquimbo,4497,,,,
4106,Vicuña,Elqui,Coquimbo,27771,,,,
4201,Illapel,Choapa,Coquimbo,30848,,,,7
4202,Canela,Choapa,Coquimbo,9093,,,,
4203,Los Vilos,Choapa,Coquimbo,21382,,1,1,1
4204,Salamanca,Choapa,Coquimbo,29347,,2,2,4
4301,Ovalle,Limarí,Coquimbo,111272,4,4,4,7
4302,Combarbala,Limarí,Coquimbo,13322,,,,
4303,Monte Patria,Limarí,Coquimbo,30751,,,,
4304,Punitaqui,Limarí,Coquimbo,10956,,,,
4305,Río Hurtado,Limarí,Coquimbo,4278,,1,1,1
5101,Valparaíso,Valparaíso,Valparaíso,296655,16,26,23,26
5102,Casablanca,Valparaíso,Valparaíso,26867,,1,2,3
5103,Concón,Valparaíso,Valparaíso,42152,,1,7,7
